#cluster	gene_name
D1	1
D1	2
D1	3
D1	4
D1	5
D1	6
D1	7
D1	8
D1	9
D1	10
D1	11
D1	12
D1	13
D1	14
D1	15
D1	16
D1	17
D1	18
D1	19
D1	20
D1	21
D1	22
D1	23
D1	24
D1	25
D1	26
D1	27
D1	28
D1	29
D1	30
D1	31
D1	32
D1	33
D1	34
D1	35
D1	36
D1	37
D1	38
D1	39
D1	40
D1	41
D1	42
D1	43
D1	44
D1	45
D1	46
D1	47
D1	48
D1	49
D1	50
D1	51
D1	52
D1	53
D1	54
D1	55
D1	56
D1	57
D1	58
D1	59
D1	60
D1	61
D1	62
D1	63
D2	64
D2	65
D2	66
D2	67
D2	68
D2	69
D2	70
D2	71
D2	72
D2	73
D2	74
D2	75
D2	76
D2	77
D2	78
D2	79
D2	80
D2	81
D2	82
D2	83
D2	84
D2	85
D2	86
D2	87
D2	88
D2	89
D2	90
D2	91
D2	92
D2	93
D2	94
D2	95
D2	96
D3	97
D3	98
D3	99
D3	100
D3	101
D3	102
D3	103
D3	104
D3	105
D3	106
D3	107
D3	108
D3	109
D3	110
D3	111
D3	112
D3	113
D3	114
D3	115
D3	116
D3	117
D3	118
D3	119
D3	120
D3	121
D3	122
D3	123
D3	124
D3	125
D3	126
D3	127
D3	128
D3	129
D3	130
D3	131
D3	132
D3	133
D3	134
D3	135
D3	136
D3	137
D3	138
D3	139
D3	140
D3	141
D3	142
D3	143
D3	144
D3	145
D3	146
D3	147
D3	148
D3	149
D3	150
D3	151
D3	152
D3	153
D4	154
D4	155
D4	156
D4	157
D4	158
D4	159
D4	160
D4	161
D4	162
