AL627309.1	AL627309.1
AP006222.2	AP006222.2
RP11-206L10.2	RP11-206L10.2
RP11-206L10.9	RP11-206L10.9
LINC00115	LINC00115
NOC2L	NOC2L
KLHL17	KLHL17
PLEKHN1	PLEKHN1
RP11-54O7.17	RP11-54O7.17
HES4	HES4
RP11-54O7.11	RP11-54O7.11
ISG15	ISG15
AGRN	AGRN
C1orf159	C1orf159
TNFRSF18	TNFRSF18
TNFRSF4	TNFRSF4
SDF4	SDF4
B3GALT6	B3GALT6
FAM132A	FAM132A
UBE2J2	UBE2J2
ACAP3	ACAP3
PUSL1	PUSL1
CPSF3L	CPSF3L
GLTPD1	GLTPD1
DVL1	DVL1
MXRA8	MXRA8
AURKAIP1	AURKAIP1
CCNL2	CCNL2
RP4-758J18.2	RP4-758J18.2
MRPL20	MRPL20
ATAD3C	ATAD3C
ATAD3B	ATAD3B
ATAD3A	ATAD3A
SSU72	SSU72
AL645728.1	AL645728.1
C1orf233	C1orf233
RP11-345P4.9	RP11-345P4.9
MIB2	MIB2
MMP23B	MMP23B
CDK11B	CDK11B
SLC35E2B	SLC35E2B
CDK11A	CDK11A
SLC35E2	SLC35E2
NADK	NADK
GNB1	GNB1
RP1-140A9.1	RP1-140A9.1
TMEM52	TMEM52
PRKCZ	PRKCZ
RP5-892K4.1	RP5-892K4.1
C1orf86	C1orf86
AL590822.2	AL590822.2
SKI	SKI
RER1	RER1
PEX10	PEX10
PLCH2	PLCH2
PANK4	PANK4
RP3-395M20.12	RP3-395M20.12
TNFRSF14	TNFRSF14
RP3-395M20.9	RP3-395M20.9
FAM213B	FAM213B
MMEL1	MMEL1
TTC34	TTC34
MEGF6	MEGF6
TPRG1L	TPRG1L
WRAP73	WRAP73
TP73-AS1	TP73-AS1
SMIM1	SMIM1
LRRC47	LRRC47
CEP104	CEP104
DFFB	DFFB
C1orf174	C1orf174
NPHP4	NPHP4
KCNAB2	KCNAB2
RPL22	RPL22
RNF207	RNF207
ICMT	ICMT
GPR153	GPR153
ACOT7	ACOT7
RP1-202O8.3	RP1-202O8.3
ESPN	ESPN
TNFRSF25	TNFRSF25
PLEKHG5	PLEKHG5
NOL9	NOL9
ZBTB48	ZBTB48
KLHL21	KLHL21
PHF13	PHF13
THAP3	THAP3
DNAJC11	DNAJC11
RP11-312B8.1	RP11-312B8.1
CAMTA1	CAMTA1
VAMP3	VAMP3
PER3	PER3
UTS2	UTS2
TNFRSF9	TNFRSF9
PARK7	PARK7
SLC45A1	SLC45A1
RERE	RERE
RP5-1115A15.1	RP5-1115A15.1
ENO1	ENO1
ENO1-AS1	ENO1-AS1
CA6	CA6
SLC2A5	SLC2A5
GPR157	GPR157
H6PD	H6PD
SPSB1	SPSB1
SLC25A33	SLC25A33
TMEM201	TMEM201
PIK3CD	PIK3CD
C1orf200	C1orf200
RP11-558F24.4	RP11-558F24.4
CLSTN1	CLSTN1
CTNNBIP1	CTNNBIP1
LZIC	LZIC
NMNAT1	NMNAT1
RBP7	RBP7
UBE4B	UBE4B
KIF1B	KIF1B
PGD	PGD
APITD1	APITD1
DFFA	DFFA
PEX14	PEX14
CASZ1	CASZ1
TARDBP	TARDBP
RP4-635E18.8	RP4-635E18.8
SRM	SRM
EXOSC10	EXOSC10
MTOR	MTOR
UBIAD1	UBIAD1
FBXO2	FBXO2
FBXO44	FBXO44
FBXO6	FBXO6
MAD2L2	MAD2L2
DRAXIN	DRAXIN
AGTRAP	AGTRAP
MTHFR	MTHFR
CLCN6	CLCN6
NPPA-AS1	NPPA-AS1
KIAA2013	KIAA2013
PLOD1	PLOD1
MFN2	MFN2
MIIP	MIIP
TNFRSF8	TNFRSF8
TNFRSF1B	TNFRSF1B
VPS13D	VPS13D
DHRS3	DHRS3
PRDM2	PRDM2
TMEM51	TMEM51
RP3-467K16.4	RP3-467K16.4
EFHD2	EFHD2
CASP9	CASP9
DNAJC16	DNAJC16
AGMAT	AGMAT
DDI2	DDI2
PLEKHM2	PLEKHM2
FBLIM1	FBLIM1
RP11-169K16.9	RP11-169K16.9
SPEN	SPEN
ZBTB17	ZBTB17
ARHGEF19	ARHGEF19
RSG1	RSG1
FBXO42	FBXO42
SZRD1	SZRD1
SPATA21	SPATA21
NECAP2	NECAP2
RP4-798A10.2	RP4-798A10.2
RP4-798A10.7	RP4-798A10.7
RP4-798A10.4	RP4-798A10.4
NBPF1	NBPF1
CROCCP2	CROCCP2
CROCC	CROCC
RP11-108M9.4	RP11-108M9.4
RP11-108M9.6	RP11-108M9.6
ATP13A2	ATP13A2
SDHB	SDHB
PADI2	PADI2
PADI4	PADI4
RCC2	RCC2
ARHGEF10L	ARHGEF10L
ALDH4A1	ALDH4A1
IFFO2	IFFO2
UBR4	UBR4
RP1-43E13.2	RP1-43E13.2
EMC1	EMC1
MRTO4	MRTO4
AKR7A2	AKR7A2
PQLC2	PQLC2
CAPZB	CAPZB
MINOS1-NBL1	MINOS1-NBL1
MINOS1	MINOS1
NBL1	NBL1
TMCO4	TMCO4
OTUD3	OTUD3
UBXN10-AS1	UBXN10-AS1
UBXN10	UBXN10
CAMK2N1	CAMK2N1
MUL1	MUL1
CDA	CDA
PINK1	PINK1
PINK1-AS	PINK1-AS
DDOST	DDOST
HP1BP3	HP1BP3
RP5-930J4.4	RP5-930J4.4
EIF4G3	EIF4G3
ECE1	ECE1
RP3-329E20.2	RP3-329E20.2
NBPF3	NBPF3
ALPL	ALPL
USP48	USP48
HSPG2	HSPG2
RP1-224A6.3	RP1-224A6.3
LINC00339	LINC00339
CDC42	CDC42
ZBTB40	ZBTB40
C1QA	C1QA
C1QC	C1QC
C1QB	C1QB
EPHB2	EPHB2
KDM1A	KDM1A
LUZP1	LUZP1
RP5-1057J7.6	RP5-1057J7.6
HNRNPR	HNRNPR
ZNF436	ZNF436
C1orf213	C1orf213
TCEA3	TCEA3
E2F2	E2F2
ID3	ID3
MDS2	MDS2
RPL11	RPL11
TCEB3	TCEB3
RP5-886K2.3	RP5-886K2.3
PITHD1	PITHD1
LYPLA2	LYPLA2
GALE	GALE
HMGCL	HMGCL
FUCA1	FUCA1
CNR2	CNR2
PNRC2	PNRC2
SRSF10	SRSF10
IFNLR1	IFNLR1
STPG1	STPG1
NIPAL3	NIPAL3
RCAN3	RCAN3
RP4-594I10.3	RP4-594I10.3
SRRM1	SRRM1
CLIC4	CLIC4
RUNX3	RUNX3
SYF2	SYF2
C1orf63	C1orf63
RP3-465N24.6	RP3-465N24.6
TMEM50A	TMEM50A
TMEM57	TMEM57
LDLRAP1	LDLRAP1
RP11-70P17.1	RP11-70P17.1
MAN1C1	MAN1C1
RP1-187B23.1	RP1-187B23.1
SEPN1	SEPN1
RP1-317E23.3	RP1-317E23.3
MTFR1L	MTFR1L
AL020996.1	AL020996.1
PAQR7	PAQR7
STMN1	STMN1
PAFAH2	PAFAH2
PDIK1L	PDIK1L
ZNF593	ZNF593
CNKSR1	CNKSR1
CEP85	CEP85
SH3BGRL3	SH3BGRL3
UBXN11	UBXN11
CD52	CD52
AIM1L	AIM1L
ZNF683	ZNF683
DHDDS	DHDDS
HMGN2	HMGN2
RPS6KA1	RPS6KA1
ARID1A	ARID1A
PIGV	PIGV
ZDHHC18	ZDHHC18
GPN2	GPN2
GPATCH3	GPATCH3
NUDC	NUDC
C1orf172	C1orf172
TRNP1	TRNP1
